title|member|summary|year|age|information|genre|image|name(OTT)
주몽|송일국, 한혜진, 김승수, 전광렬 外|고조선 멸망 시기부터 고구려 건국 시기까지를 배경으로, 주몽의 일대기를 그린 드라마|2006|15|81부작|HISTORICAL|jumong.png|WAVVE, WATCHA
궁|주지훈, 윤은혜, 김정훈, 송지효 外|인기만화 '궁'을 원작으로, 평범한 신분의 여고생 채경이 할아버지끼리의 약속 때문에 왕위 계승자인 세자 이신과 정략 결혼을 하면서 벌어지는 이야기|2006|15|24부작|MELO, ROMANCE, COMEDY, FANTASY|princesshours.png|COUPANGPLAY, WAVVE, WATCHA
꽃보다 남자|구혜선, 이민호, 김현중, 김범, 김준 外|사립고에 다니게 된 세탁소집 딸과 부잣집 도련님들의 사랑을 그린 드라마|2009|15|25부작|ROMANCE, COMEDY, ACADEMY, FAMILY|boysoverflower.png|COUPANGPLAY, WAVVE, WATCHA
시크릿 가든|하지원, 현빈, 윤상현, 김사랑 外|무술감독을 꿈꾸는 스턴트 우먼 길라임과 '까칠한' 백만장자 백화점 사장 김주원의 영혼이 바뀌면서 벌어지는 일을 다룬 로맨스 판타지 드라마|2010|15|20부작|ROMANCE, COMEDY, FANTASY|secretgarden.png|COUPANGPLAY, WAVVE, WATCHA
내 여자친구는 구미호|이승기, 신민아, 노민우, 박수진 外|우연히 만난 구미호와 사랑에 빠지는 한 남자의 이야기|2010|15|16부작|ROMANCE, COMEDY, FANTASY|mygirlfriendninetailfox.png|COUPANGPLAY, WAVVE, WATCHA
드림하이|수지, 김수현, 옥택연, 함은정, 장우영, 아이유 外|연예예술고등학교를 배경으로 펼쳐지는 청춘들의 스타가 되기 위한 꿈과 사랑을 그린 드라마|2011|15|16부작|ACADEMY, ROMANCE, COMEDY|dreamhigh.png|COUPANGPLAY, WAVVE, WATCHA
최고의 사랑|차승원, 공효진, 윤계상, 유인나 外|전 국민이 사랑하는 남자와 전 국민이 욕하는 여자가 서로를 향한 마음으로 사랑하게 되는 과정을 그린 드라마|2011|15|16부작|ROMANCE, COMEDY|bestlove.png|WAVVE, WATCHA
응답하라 1997|정은지, 서인국, 신소율, 은지원, 이호원, 이시언 外|HOT와 젝스키스로 대변된 90년대를 배경으로, 오빠들에 미쳐있던 여고생과 다섯 친구들의 감성 복고 드라마|2012|15|16부작|PERIOD, ROMANCE, COMEDY, FAMILY, DAILY|reply1997.png|TVING, DISNEYPLUS, UPLUS
드림하이2|강소라, 정진운, 지연, JAY B, 효린, 박서준 外|기린예고 최악의 돌+아이들과 신경쇠약 직전의 최고 아이돌들이 펼치는 불꽃 튀는 팀 배틀을 그린 청춘 뮤직드라마|2012|15|16부작|ACADEMY, ROMANCE|dreamhigh2.png|WAVVE, WATCHA
별에서 온 그대|전지현, 김수현, 박해진, 유인나, 신성록 外|400년 전 지구에 떨어진 외계남 도민준과 왕싸가지 한류여신 톱스타 천송이의 기적과도 같은 달콤 발랄 로맨스|2013|15|21부작|ROMANCE, COMEDY, FANTASY, HISTORICAL|mlfts.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA, UPLUS
상속자들|이민호, 박신혜, 김우빈, 정수정, 김지원, 강민혁 外|명문 사립 귀족 고등학교, 제국고에 사회배려자 전형으로 입학하게 된 차은상. 상속받은 거라곤 가난밖에 없어 그들 사이에서 악착같이 버텨나가던 은상의 앞에 제국그룹 상속자 김탄이 나타난다.|2013|15|20부작|ROMANCE, COMEDY, ACADEMY, YOUTH|theheirs.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA
주군의 태양|소지섭, 공효진, 서인국, 김유리 外|인색하고 욕심 많은 유아독존 사장님과 음침하고 눈물 많은 영감 발달 여직원이 무섭지만 슬픈 사연을 지닌 영혼들을 위령하는 로코믹 호러 드라마|2013|15|17부작|HORROR, ROMANCE, MELO, COMEDY|kingssun.png|COUPANGPLAY, WAVVE, WATCHA
응답하라 1994|고아라, 성동일, 이일화, 정우, 유연석, 김성균, 손호준, 차선우, 민도희 外|1994년을 배경으로, 지방 사람들의 눈물겨운 상경기와 농구대잔치, 서태지와 아이들 등의 사회적 이슈를 담은 드라마|2013|15|21부작|PERIOD, ROMANCE, FAMILY, DAILY|reply1994.png|TVING, DISNEYPLUS
피노키오|이종석, 박신혜, 김영광, 이유비 外|진실을 추적하는 사회부 기자들의 삶과 24시간을 늘 함께하며 전쟁같이 보내는 이들이 그 안에서 서서히 설레는 시간으로 변해가는 풋풋한 청춘을 그린 드라마|2014|15|20부작|FANTASY, MELO, ROMANCE, COMEDY|pinocchio.png|WAVVE, WATCHA
응답하라 1988|혜리, 안재홍, 류준열, 고경표, 박보검, 이동휘 外|쌍팔년도 쌍문동, 한 골목 다섯 가족의 왁자지껄 코믹 가족극|2015|15|20부작|PERIOD, ROMANCE, FAMILY, DAILY|reply1988.png|NETFLIX, TVING, DISNEYPLUS
프로듀사|차태현, 공효진, 김수현, 아이유 外|힘들게 쌓아온 스펙대신 웃음을 만드는 것과 수려한 말빨이 필요한 KBS 예능국. 뮤직뱅크 피디 예진과 1박 2일 피디 준모, 신입 피디 승찬, 가수 신디는 그곳에서 살아남아야 한다.|2015|15|12부작|COMEDY, ROMANCE, DRAMA|producers.png|COUPANGPLAY, WAVVE, WATCHA
킬미, 힐미|지성, 황정음, 박서준, 김유리, 오민석 外|다중인격장애를 소재로, 일곱 개의 인격을 가진 재벌 3세와 그의 비밀주치의가 된 레지던트 1년 차 여의사의 버라이어티한 로맨스를 그린 힐링 로맨틱코미디 드라마|2015|15|20부작|MELO, ROMANCE, COMEDY, DRAMA, PSYCHOLOGICAL|killmehealme.png|WAVVE, WATCHA
그녀는 예뻤다|황정음, 박서준, 고준희, 최시원 外|주근깨 뽀글머리 '역대급 폭탄녀'로 역변한 혜진과 '초절정 복권남'으로 정변한 성준, 완벽한 듯 하지만 '빈틈 많은 섹시녀' 하리, 베일에 가려진 '넉살끝판 반전남' 신혁, 네 남녀의 재기발랄 로맨틱 코미디|2015|15|16부작|ROMANCE, COMEDY|shewaspretty.png|COUPANGPLAY, WAVVE, WATCHA
태양의 후예|송중기, 송혜교, 진구, 김지원 外|낯선 땅 극한의 환경 속에서 사랑과 성공을 꿈꾸는 젊은 군인과 의사들을 통해 삶의 가치를 담아낼 블록버스터급 휴먼 멜로 드라마|2016|15|16부작|DRAMA, ROMANCE, COMEDY, ACTION, MEDICAL, HUMAN, POLITICAL|dofs.png|COUPANGPLAY, WAVVE, WATCHA
쓸쓸하고 찬란하神 도깨비|공유, 이동욱, 김고은, 유인나, 육성재 外|불멸의 삶을 끝내기 위해 인간 신부가 필요한 도깨비, 그와 기묘한 동거를 시작한 기억상실증 저승사자. 그런 그들 앞에 '도깨비 신부'라 주장하는 '죽었어야 할 운명'의 소녀가 나타나며 벌어지는 신비로운 낭만 설화|2016|15|16부작|FANTASY, ROMANCE, COMEDY|goblin.png|NETFLIX, TVING, DISNEYPLUS
질투의 화신|공효진, 조정석, 고경표, 이미숙 外|질투라곤 몰랐던 마초 기자와 재벌남이 생계형 기상캐스터를 만나 질투로 스타일 망가져 가며 애정을 구걸하는 양다리 로맨스|2016|15|24부작|DRAMA, MELO, ROMANCE, COMEDY|ddtd.png|COUPANGPLAY, WAVVE, WATCHA
또! 오해영|에릭, 서현진, 전혜빈 外|"""모든 것은 오해로 시작되었다!"" '오해영'이라는 동명이인의 두 여자와 그들 사이에서 미래를 보기 시작한 남자 '박도경'이 미필적 고의로 서로의 인생에 얽혀가는 동명 오해 로맨스"|2016|15|18부작|COMEDY, ROMANCE|againohy.png|TVING, DISNEYPLUS
달의 연인 - 보보경심 려|이준기, 아이유, 강하늘, 홍종현 外|달그림자가 태양을 검게 물들인 날. 상처 입은 짐승 같은 사내, 4황자 '왕소'와 21세기 여인 '고하진'의 영혼이 미끄러져 들어간 고려 소녀 '해수'가 천 년의 시공간을 초월해 만난다.|2016|15|20부작|HISTORICAL, FANTASY, ROMANCE|moonlovers.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA
군주 - 가면의 주인|유승호, 김소현, 엘, 윤소희 外|조선 팔도의 물을 사유해 강력한 부와 권력을 얻은 조직 편수회와 맞서 싸우는 왕세자의 의로운 사투를 그린 드라마|2017|15|40부작|HISTORICAL, POLITICAL, ROMANCE|king.png|WAVVE
언터처블|진구, 김성균, 고준희, 정은지 外|가상의 도시 북천시를 배경으로 3대에 걸쳐 북천시를 지배하고 있는 장씨 일가를 둘러싼 권력 암투와 그 속의 숨겨진 비밀을 다룬 이야기|2017|15|16부작|POLITICAL, THRILLER, DRAMA|untouchable.png|TVING
쌈, 마이웨이|박서준, 김지원, 안재홍, 송하윤 外|세상이 보기엔 부족한 스펙 때문에 마이너 인생을 강요하는 현실 속에서도, 남들이 뭐라던 '마이웨이'를 가려는 마이너리그 청춘들의 골 때리는 성장로맨스를 담은 드라마|2017|15|16부작|ROMANCE, COMEDY, YOUTH|sammyway.png|COUPANGPLAY, WAVVE, WATCHA
나의 아저씨|이선균, 아이유 外|삶의 무게를 버티며 살아가는 아저씨 삼 형제와 거칠게 살아온 한 여성이 서로를 통해 삶을 치유하게 되는 이야기|2018|15|16부작|DRAMA, HUMAN, HEALING|mymister.png|NETFLIX, TVING, DISNEYPLUS
복수가 돌아왔다|유승호, 조보아, 곽동연 外|학교 폭력 가해자로 몰려 부당하게 퇴학을 당한 강복수가, 어른이 돼 학교로 다시 돌아가 복수를 계획하지만, 복수는 고사하고 또다시 사건에 휘말리고 사랑도 다시 하는 엉뚱하면서 따뜻한 감성 로맨스|2018|15|32부작|ROMANCE, ACADEMY, DRAMA, REVENGE|boksucomeback.png|WAVVE, WATCHA
Sky캐슬|염정아, 정준호, 이태란, 최영원, 윤세아, 김병철, 오나라, 조재윤, 김서형 外|대한민국 상위 0.1%가 모여 사는 SKY 캐슬 안에서 남편은 왕으로, 제 자식은 천하제일 왕자와 공주로 키우고 싶은 명문가 출신 사모님들의 처절한 욕망을 샅샅이 들여다보는 리얼 코믹 풍자 드라마|2018|15|20부작|CRIME, DRAMA, THRILLER, BLACK COMEDY, MYSTERY, NOIR, ACADEMY, REVENGE, FAMILY, PICARESQUE|skycastle.png|NETFLIX, TVING, DISNEYPLUS
알함브라 궁전의 추억|현빈, 박신혜 外|투자회사 대표인 남자주인공이 비즈니스로 스페인 그라나다에 갔다가 전직 기타리스트였던 여주인공이 운영하는 싸구려 호스텔에 묵으며 두 사람이 기묘한 사건에 휘말리며 펼쳐지는 이야기|2018|15|16부작|FANTASY, THRILLER, ROMANCE|alhambra.png|NETFLIX, TVING
