title|member|summary|year|age|information|genre|image|ott
청춘기록|박보검, 박소담, 변우석 外|현실의 벽에 절망하지 않고 스스로 꿈과 사랑을 이루기 위해 노력하는 청춘들의 성장 기록|2020|15|16부작|ROMANCE, GROWTH, YOUTH|recordofyouth.png|NETFLIX, TVING
사이코지만 괜찮아|김수현, 서예지, 오정세, 박규영 外|버거운 삶의 무게로 사랑을 거부하는 정신 병동 보호사 강태와 태생적 결함으로 사랑을 모르는 동화 작가 문영이 서로의 상처를 보듬고 치유해가는 한 편의 판타지 동화 같은 사랑에 관한 조금 이상한 로맨틱 코미디|2020|15|16부작|DRAMA, ROMANCE, COMEDY, FAMILY, GROWTH|itokay.png|NETFLIX, TVING
쌍갑포차|황정음, 육성재, 최원영 外|까칠한 포차 이모님과 순수청년 알바생이 손님들의 꿈속에 들어가 맺힌 한을 풀어주는 오리엔탈 판타지 카운슬링 드라마|2020|15|12부작|FANTASY, MYSTERY, DRAMA, COMEDY|mysticpopupbar.png|NETFLIX, TVING
더 킹 : 영원의 군주|이민호, 김고은, 우도환, 김경남, 정은채, 이정진 外|악마에 맞서 차원의 문(門)을 닫으려는 이과(理科)형 대한제국 황제와 누군가의 삶·사람·사랑을 지키려는 문과(文科)형 대한민국 형사의 공조를 통해 차원이 다른 로맨스를 그린 드라마|2020|15|16부작|FANTASY, ROMANCE, MELO, ACTION|thekingem.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA
하이바이, 마마!|김태희, 이규형, 고보결, 서우진 外|사고로 가족의 곁을 떠나게 된 차유리가 사별의 아픔을 딛고 새 인생을 시작한 남편 조강화와 딸아이 앞에 다시 나타나면서 벌어지는 고스트 엄마의 49일 리얼 환생 스토리|2020|15|16부작|FAMILY|hibyemama.png|NETFLIX, TVING
이태원 클라쓰|박서준, 김다미, 유재명, 권나라, 김동희, 안보현, 김혜은 外|불합리한 세상 속, 고집과 객기로 뭉친 청춘들의 '힙'한 반란이 시작된다. 세계를 압축해 놓은 듯한 이태원. 이 작은 거리, 각자의 가치관으로 자유를 쫓는 그들의 창업 신화 <이태원 클라쓰>|2020|15|16부작|DRAMA, YOUTH, GROWTH, REVENGE, ROMANCE|itaewonclass.png|NETFLIX, TVING
18 어게인|김하늘, 윤상현, 이도현 外|이혼 직전에 18년 전 리즈 시절로 돌아간 남편 이야기를 담은 드라마|2020|15|16부작|FANTASY, YOUTH, ROMANCE, COMEDY, ACADEMY|18again.png|NETFLIX, TVING
그 남자의 기억법|김동욱, 문가영 外|과잉기억증후군으로 1년 365일 8760시간을 모조리 기억하는 앵커 이정훈과 열정을 다해 사는 라이징 스타 여하진의 상처 극복 로맨스|2020|15|32부작|ROMANCE|themanmemroy.png|WAVVE, WATCHA
신사와 아가씨|지현우, 이세희, 강은탁, 박하나 外|자신의 선택에 책임을 다하고 행복을 찾아가는 '아가씨'와 '신사'가 만나면서 벌어지는 파란만장한 이야기|2021|15|52부작|ROMANCE, COMEDY, FAMILY|ylagm.png|COUPANGPLAY, WAVVE, WATCHA
연모|박은빈, 로운, 남윤수, 최병찬, 배윤경, 정채연 外|쌍둥이로 태어나 여아라는 이유만으로 버려졌던 아이가 오라비 세손의 죽음으로 남장을 통해 세자가 되면서 벌어지는 비밀스러운 궁중 로맨스 드라마|2021|15|20부작|HISTORICAL, ROMANCE|affection.png|NETFLIX, WAVVE
슬기로운 의사생활 시즌2|조정석, 유연석, 정경호, 김대명, 전미도 外|누군가는 태어나고 누군가는 삶을 끝내는, 인생의 축소판이라 불리는 병원에서 평범한 듯 특별한 하루하루를 살아가는 사람들과 눈빛만 봐도 알 수 있는 20년지기 친구들의 케미스토리를 담은 드라마|2021|15|12부작|DRAMA, GROWTH, MEDICAL, COMEDY|doctorlife2.png|NETFLIX, TVING
펜트하우스3|유진, 김소연, 이지아 外|채워질 수 없는 일그러진 욕망으로 집값 1번지, 교육 1번지에서 벌이는 서스펜스 복수극! 자식을 지키기 위해 악녀가 될 수밖에 없었던 여자들의 연대와 복수를 그린 이야기!|2021|19|14부작|CRIME, THRILLER, NOIR, BLACK_COMEDY, MYSTERY, MELO, PICARESQUE|penthouse2.png|COUPANGPLAY, WAVVE, WATCHA
펜트하우스2|유진, 김소연, 이지아 外|채워질 수 없는 일그러진 욕망으로 집값 1번지, 교육 1번지에서 벌이는 서스펜스 복수극! 자식을 지키기 위해 악녀가 될 수밖에 없었던 여자들의 연대와 복수를 그린 이야기!|2021|19|13부작|CRIME, THRILLER, NOIR, BLACK_COMEDY, MYSTERY, MELO, PICARESQUE|penthouse3.png|COUPANGPLAY, WAVVE, WATCHA
빈센조|송중기, 전여빈, 옥택연, 김여진, 곽동연 外|조직의 배신으로 한국으로 오게 된 이탈리아 마피아 변호사가 베테랑 독종 변호사와 함께 악당의 방식으로 악당을 쓸어버리는 이야기|2021|15|20부작|CRIME, THRILLER, NOIR, BLACK_COMEDY, ACTION, PICARESQUE, REVENGE|vincenzo.png|NETFLIX, TVING
어느 날 우리 집 현관으로 멸망이 들어왔다|박보영, 서인국, 이수혁, 강태오, 신도현 外|사라지는 모든 것들의 이유가 되는 존재 ‘멸망’과 사라지지 않기 위해 목숨을 건 계약을 한 인간 ‘동경’의 아슬아슬한 목숨담보 판타지 로맨스|2021|15|16부작|FANTASY, ROMANCE, MELO|days.png|NETFLIX, TVING
오월의 청춘|이도현, 고민시, 이상이, 금새록 外|1980년 5월, 역사의 소용돌이 한가운데 운명처럼 서로에게 빠져버린 희태와 명희의 아련한 봄 같은 사랑 이야기를 담은 레트로 휴먼 멜로드라마|2021|15|12부작|PERIOD, ROMANCE, MELO, FAMILY|youthofmay.png|WAVVE
